ปีการศึกษา,สถาบัน,วิทยาเขต,รหัสหลักสูตร,คณะ/สำนักวิชา,ชื่อหลักสูตร,รายละเอียด,สาขาวิชา/วิชาเอก,รหัสรับร่วม,รับ,สมัคร,ผ่าน,คะแนนต่ำสุด,คะแนนสูงสุด,เกรดเฉลี่ย,TGAT,TGAT1,TGAT2,TGAT3,TPAT3,A-Level คณิตศาสตร์ประยุกต์ 1,A-Level วิทยาศาสตร์ประยุกต์,A-Level ฟิสิกส์,A-Level เคมี,A-Level ชีววิทยา,A-Level สังคมศาสตร์,A-Level ภาษาไทย,A-Level ภาษาอังกฤษ,ค่าน้ำหนักลำดับที่เลือก
2566,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010123213501A,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,,,0,24,"2,695",24,74.1276,81.1940,,20,,,,80,,,,,,,,,
2566,มหาวิทยาลัยเกษตรศาสตร์,บางเขน,10020104220201A,คณะวิทยาศาสตร์,วท.บ. สาขาวิชาวิทยาการคอมพิวเตอร์,Admission,,0,28,"3,352",28,81.9666,88.3916,30,,35,,,35,,,,,,,,,
2566,มหาวิทยาลัยเกษตรศาสตร์,บางเขน,10020104220201B,คณะวิทยาศาสตร์,วท.บ. สาขาวิชาวิทยาการคอมพิวเตอร์,Admission,,0,55,956,55,73.4582,86.3581,30,,40,,,30,,,,,,,,,
2566,มหาวิทยาลัยเกษตรศาสตร์,กำแพงแสน,10020222220201A,คณะศิลปศาสตร์และวิทยาศาสตร์,วท.บ. สาขาวิชาวิทยาการคอมพิวเตอร์,Admission,,0,25,377,25,47.3166,54.9833,20,30,,,,,50,,,,,,,,
2566,มหาวิทยาลัยเกษตรศาสตร์,กำแพงแสน,10020222220201B,คณะศิลปศาสตร์และวิทยาศาสตร์,วท.บ. สาขาวิชาวิทยาการคอมพิวเตอร์,Admission,,0,70,54,27,26.6915,45.6000,20,30,,,,,50,,,,,,,,
2566,มหาวิทยาลัยเกษตรศาสตร์,ศรีราชา,10020327220201A,คณะวิทยาศาสตร์ ศรีราชา,วท.บ. สาขาวิชาวิทยาการคอมพิวเตอร์,Admission,,0,16,231,16,57.7552,70.2938,,20,,,,80,,,,,,,,,
2566,มหาวิทยาลัยเกษตรศาสตร์,ศรีราชา,10020327220201B,คณะวิทยาศาสตร์ ศรีราชา,วท.บ. สาขาวิชาวิทยาการคอมพิวเตอร์,Admission,,0,40,81,38,30.8608,59.6382,,20,,,,80,,,,,,,,,
2566,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,10020430220201A,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วท.บ. สาขาวิชาวิทยาการคอมพิวเตอร์,Admission,,0,90,109,24,50.6110,77.6665,50,50,,,,,,,,,,,,,
2566,มหาวิทยาลัยขอนแก่น,ขอนแก่น,10030138220202A,วิทยาลัยการคอมพิวเตอร์,วิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์) วิทยาการคอมพิวเตอร์,วิทยาลัยการคอมพิวเตอร์ วท.บ. (วิทยาการคอมพิวเตอร์) วิทยาการคอมพิวเตอร์ สาขาวิชาวิทยาการคอมพิวเตอร์ ภาคปกติ ,,0,14,374,14,40.8250,48.2375,,,,20,,,45,,10,,,,,25,
2566,มหาวิทยาลัยขอนแก่น,ขอนแก่น,10030138220203B,วิทยาลัยการคอมพิวเตอร์,วิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์) วิทยาการคอมพิวเตอร์,วิทยาลัยการคอมพิวเตอร์ วท.บ. (วิทยาการคอมพิวเตอร์) วิทยาการคอมพิวเตอร์ สาขาวิชาวิทยาการคอมพิวเตอร์ โครงการพิเศษ ,,0,40,116,40,23.6375,40.3125,,,,20,,,45,,10,,,,,25,
2566,มหาวิทยาลัยขอนแก่น,หนองคาย,10030245220201A,คณะสหวิทยาการ,วิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์และสารสนเทศ) วิทยาการคอมพิวเตอร์และสารสนเทศ วิชาเอก วิทยาการคอมพิวเตอร์และสารสนเทศ,คณะสหวิทยาการ วท.บ. (วิทยาการคอมพิวเตอร์และสารสนเทศ) วิทยาการคอมพิวเตอร์และสารสนเทศ วิชาเอก วิทยาการคอมพิวเตอร์และสารสนเทศ  ,,0,65,22,4,21.0000,33.6875,,,,,,,25,,,,,25,25,25,
2566,มหาวิทยาลัยขอนแก่น,หนองคาย,10030245220202A,คณะสหวิทยาการ,วิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์และสารสนเทศ) วิทยาการคอมพิวเตอร์และสารสนเทศ วิชาเอก วิทยาการข้อมูลและปัญญาประดิษฐ์,คณะสหวิทยาการ วท.บ. (วิทยาการคอมพิวเตอร์และสารสนเทศ) วิทยาการคอมพิวเตอร์และสารสนเทศ วิชาเอก วิทยาการข้อมูลและปัญญาประดิษฐ์  ,,0,80,17,3,27.3250,41.1875,,,,,,,25,,,,,25,25,25,
2566,มหาวิทยาลัยเชียงใหม่,วิทยาเขตหลัก,10040105220201A,คณะวิทยาศาสตร์,วท.บ.วิทยาการคอมพิวเตอร์,การรับตรงร่วมกัน (รหัส 4357312-วิทยาการคอมพิวเตอร์),,,16,"1,093",16,62.1335,69.5690,,50,,,,50,,,,,,,,,
